Sample	Sum of remaining over-represented sequences	Top over-represented sequence
SRR1300290.trim_1P	0.0	0.0
SRR1300291.trim_1P	0.0	0.0
SRR1300292.trim_1P	0.0	0.0
SRR1300293.trim_1P	0.0	0.0
SRR1300294.trim_1P	0.0	0.0
SRR1300295.trim_1P	0.0	0.0
SRR1300296.trim_1P	0.0	0.0
SRR1300297.trim_1P	0.0	0.0
SRR1300298.trim_1P	0.0	0.0
SRR1300299.trim_1P	0.0	0.12899217167163712
SRR1300300.trim_1P	0.0	0.0
SRR1300301.trim_1P	0.0	0.0
SRR1300302.trim_1P	28.36687466219574	15.20286745262321
SRR1300303.trim_1P	22.908105166372756	13.049544739564546
SRR1300304.trim_1P	25.668036948674853	15.035981821824862
SRR1300305.trim_1P	28.04054657450523	14.027279801164044
SRR1300306.trim_1P	0.0	0.0
SRR1300307.trim_1P	0.0	0.0
SRR1300308.trim_1P	0.0	0.0
SRR1300309.trim_1P	0.0	0.0
SRR1300310.trim_1P	0.0	0.0
SRR1300311.trim_1P	0.0	0.0
SRR1300312.trim_1P	0.0	0.0
SRR1300313.trim_1P	0.0	0.0
SRR1300314.trim_1P	0.0	0.0
SRR1300315.trim_1P	0.0	0.0
SRR1300316.trim_1P	0.0	0.0
SRR1300317.trim_1P	0.0	0.0
SRR1300318.trim_1P	0.31180948988878676	0.2307716485701241
SRR1300319.trim_1P	6.933791292905706	1.529588426182823
SRR1300320.trim_1P	3.7334037195778507	2.03467404575591
SRR1300321.trim_1P	0.0	0.0
SRR1300322.trim_1P	0.21986531638257162	0.15102871979886506
SRR1300323.trim_1P	0.0	0.0
SRR1300324.trim_1P	0.0	0.0
SRR1300325.trim_1P	0.0	0.0
SRR1300326.trim_1P	0.0	0.0
SRR1300327.trim_1P	0.0	0.0
SRR1300328.trim_1P	0.0	0.0
SRR1300329.trim_1P	0.0	0.0
SRR1300330.trim_1P	0.0	0.0
SRR1300331.trim_1P	0.0	0.0
SRR1300332.trim_1P	0.0	0.0
SRR1300333.trim_1P	0.0	0.0
SRR1300334.trim_1P	0.0	0.0
SRR1300335.trim_1P	0.0	0.0
SRR1300336.trim_1P	0.0	0.0
SRR1300337.trim_1P	0.0	0.0
SRR1300338.trim_1P	0.0	0.0
SRR1300339.trim_1P	0.0	0.0
SRR1300340.trim_1P	0.0	0.0
SRR1300341.trim_1P	0.0	0.0
SRR1300342.trim_1P	0.0	0.0
SRR1300343.trim_1P	0.31234062064372153	0.21371040030770333
SRR1300344.trim_1P	0.0	0.0
SRR1300345.trim_1P	0.0	0.0
SRR1300346.trim_1P	0.0	0.0
SRR1300347.trim_1P	0.0	0.0
SRR1300348.trim_1P	0.0	0.0
SRR1300349.trim_1P	0.0	0.0
SRR1300350.trim_1P	0.0	0.0
SRR1300351.trim_1P	0.0	0.0
SRR1300352.trim_1P	0.0	0.0
SRR1300353.trim_1P	0.0	0.0
SRR1300354.trim_1P	0.0	0.0
SRR1300355.trim_1P	0.0	0.0
SRR1300356.trim_1P	0.0	0.0
SRR1300357.trim_1P	0.0	0.0
SRR1300358.trim_1P	0.0	0.0
SRR1300359.trim_1P	0.0	0.0
SRR1300360.trim_1P	0.0	0.0
SRR1300361.trim_1P	0.0	0.0
SRR1300362.trim_1P	0.0	0.0
SRR1300363.trim_1P	0.0	0.0
SRR1300364.trim_1P	0.0	0.0
SRR1300365.trim_1P	0.0	0.0
SRR1300366.trim_1P	0.0	0.0
SRR1300367.trim_1P	0.0	0.0
SRR1300368.trim_1P	0.0	0.0
SRR1300369.trim_1P	0.0	0.0
SRR1300370.trim_1P	0.0	0.0
SRR1300371.trim_1P	0.0	0.0
SRR1300372.trim_1P	0.0	0.0
SRR1300373.trim_1P	0.0	0.0
SRR1300374.trim_1P	0.0	0.1382406988744345
SRR1300375.trim_1P	0.9387067941569486	0.22610664773212905
SRR1300376.trim_1P	0.21686424706138524	0.31087984549063313
SRR1300377.trim_1P	0.0	0.0
SRR1300378.trim_1P	0.0	0.0
SRR1300379.trim_1P	0.0	0.0
SRR1300380.trim_1P	0.0	0.0
SRR1300381.trim_1P	0.0	0.0
SRR1300382.trim_1P	0.0	0.0
SRR1300383.trim_1P	0.0	0.0
SRR1300384.trim_1P	0.0	0.0
SRR1300385.trim_1P	0.0	0.0
SRR1300387.trim_1P	0.0	0.0
SRR1300388.trim_1P	0.0	0.0
SRR1300389.trim_1P	0.0	0.0
SRR1300390.trim_1P	0.0	0.0
SRR1300391.trim_1P	0.0	0.0
SRR1300392.trim_1P	0.0	0.0
SRR1300393.trim_1P	0.0	0.0
SRR1300394.trim_1P	0.0	0.0
SRR1300395.trim_1P	0.7669864739986435	0.2654428179776972
SRR1300396.trim_1P	0.0	0.0
