SAMPLE_ACC,Sample Type,SAMPLE_VOLUME,VOLUME_UNIT,FILTER_MIN,FILTER_MAX,SAMPLE_DESCRIPTION,SAMPLE_NAME,COMMENTS,TAXON_ID,COLLECTION_START_TIME,COLLECTION_STOP_TIME,BIOMATERIAL_NAME,DESCRIPTION,MATERIAL_ACC,SITE_NAME,LATITUDE,LONGITUDE,ALTITUDE,SITE_DEPTH,SITE_DESCRIPTION,COUNTRY_NAME,REGION,HABITAT_NAME,HOST_TAXON_ID,HOST_DESCRIPTION,HOST_ORGANISM,LIBRARY_ACC,SEQUENCING_METHOD,DNA_TYPE,NUM_OF_READS,MATERIAL_ID,Silicate - (umol/kg),sample depth - (M),salinity - (psu),temperature - (C),chlorophyll density - (ug/kg),phosphate - (umol/kg),dissolved oxygen - (nmol/kg),Particulate Organic Carbon - (umol/kg),dissolved organic carbon - (umol/kg),pH,nitrate(NO3) - (umol/l)
CAM_SMPL_002698,eukaryotes,,,,,Emiliania huxleyi 379,MMETSP0996,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0996"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0996</a>""",2903,00:00.0,00:00.0,(MMETSP0996) Emiliania huxleyi,,CAM_BM_002718,Atlantic_Ocean,50.1669,-4.2504,,,near English Channel,UNITED KINGDOM,,marine habitat,,,,CAM_LIB_001464,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002699,eukaryotes,,,,,Emiliania huxleyi 379,MMETSP0997,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0997"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0997</a>""",2903,00:00.0,00:00.0,(MMETSP0997) Emiliania huxleyi,,CAM_BM_002719,Atlantic_Ocean,50.1669,-4.2504,,,near English Channel,UNITED KINGDOM,,marine habitat,,,,CAM_LIB_001465,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002700,eukaryotes,,,,,Anophryoides haemophila AH6,MMETSP1018,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1018"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1018</a>""",46462,30:00.0,30:00.0,(MMETSP1018) Anophryoides haemophila,,CAM_BM_002720,Atlantic_Ocean,43.51667,-65.6,,,The ciliate was isolated from infected lobsters at a lobster holding facility (cordinates above) in Barrington Passage Nova scotia Canada .,CANADA,,marine habitat,,,,CAM_LIB_001466,Illumina,cDNA,,3175,,,,5,,,,,,,
CAM_SMPL_002701,eukaryotes,,,,,Aurantiochytrium limacinum ATCCMYA-1381,MMETSP0958,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0958"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0958</a>""",87120,00:00.0,00:00.0,(MMETSP0958) Aurantiochytrium limacinum,,CAM_BM_002721,Pacific_Ocean,9.53333,138.11667,,,,"MICRONESIA, FEDERATED STATES OF",,marine habitat,,,,CAM_LIB_001467,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002702,eukaryotes,,,,,Thalassiosira oceanica CCMP1005,MMETSP0973,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0973"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0973</a>""",159749,00:00.0,00:00.0,(MMETSP0973) Thalassiosira oceanica - seawater,,CAM_BM_002722,Sargasso Sea,33.1833,-65.25,,,,,,marine habitat,,,,CAM_LIB_001468,Illumina,cDNA,,3177,,,36.32,22.7,,,,,,,
CAM_SMPL_002703,eukaryotes,,,,,non described non described CCMP2097,MMETSP0974,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0974"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0974</a>""",483370,00:00.0,00:00.0,(MMETSP0974) non described non described - surface sea ice melt water,,CAM_BM_002723,Baffin Bay,77.0014,-77.2383,,,North Water Polynia Study (NOW),CANADA,,marine habitat,,,,CAM_LIB_001469,Illumina,cDNA,,3178,,0,,,,,,,,,
CAM_SMPL_002704,eukaryotes,,,,,Ditylum brightwellii GSO105,MMETSP0998,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0998"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0998</a>""",49249,00:00.0,00:00.0,(MMETSP0998) Ditylum brightwellii - Seawater,,CAM_BM_002724,Pacific_Ocean,47.74,-122.417,,,,UNITED STATES,,marine habitat,,,,CAM_LIB_001470,Illumina,cDNA,,3179,,0.5,,,,,,,,,
CAM_SMPL_002705,eukaryotes,,,,,Ditylum brightwellii GSO105,MMETSP1001,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1001"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1001</a>""",49249,00:00.0,00:00.0,(MMETSP1001) Ditylum brightwellii - Seawater,,CAM_BM_002725,Pacific_Ocean,47.74,-122.417,,,,UNITED STATES,,marine habitat,,,,CAM_LIB_001471,Illumina,cDNA,,3180,,0.5,,,,,,,,,
CAM_SMPL_002706,eukaryotes,,,,,Karenia brevis Wilson,MMETSP0648,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0648"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0648</a>""",156230,00:00.0,00:00.0,(MMETSP0648) Karenia brevis - seawater,,CAM_BM_002726,Gulf of Mexico,,,,,South Padre Island,UNITED STATES,,marine habitat,,,,CAM_LIB_001472,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002707,eukaryotes,,,,,Amphiprora sp. CCMP467,MMETSP0725,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0725"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0725</a>""",265536,,,(MMETSP0725) Amphiprora sp.,,CAM_BM_002727,,,,,,,,,marine habitat,,,,CAM_LIB_001473,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002708,eukaryotes,,,,,Amphiprora sp. CCMP467,MMETSP0726,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0726"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0726</a>""",265536,,,(MMETSP0726) Amphiprora sp.,,CAM_BM_002728,,,,,,,,,marine habitat,,,,CAM_LIB_001474,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002709,eukaryotes,,,,,Amphiprora sp. CCMP467,MMETSP0727,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0727"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0727</a>""",265536,,,(MMETSP0727) Amphiprora sp.,,CAM_BM_002729,,,,,,,,,marine habitat,,,,CAM_LIB_001475,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002710,eukaryotes,,,,,Prymnesium parvum Texoma1,MMETSP0815,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0815"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0815</a>""",97485,00:00.0,00:00.0,(MMETSP0815) Prymnesium parvum,,CAM_BM_002730,"Lake Texoma, Oklahoma",33.98,-96.67,,,,UNITED STATES,,freshwater habitat,,,,CAM_LIB_001476,Illumina,cDNA,,3185,,,5,,,,,,,,
CAM_SMPL_002711,eukaryotes,,,,,Proboscia inermis CCAP1064/1,MMETSP0816,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0816"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0816</a>""",420281,,,(MMETSP0816) Proboscia inermis,,CAM_BM_002731,,,,,,,ANTARCTICA,,,,,,CAM_LIB_001477,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002712,eukaryotes,,,,,Tetraselmis striata LANL1001,MMETSP0817,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0817"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0817</a>""",3165,,,(MMETSP0817) Tetraselmis striata,,CAM_BM_002732,OTHER,,,,,,UNITED STATES,,marine habitat,,,,CAM_LIB_001478,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002713,eukaryotes,,,,,Pelagomonas calceolata  CCMP1756,MMETSP0888,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0888"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0888</a>""",35677,00:00.0,00:00.0,(MMETSP0888) Pelagomonas calceolata  - seawater,,CAM_BM_002733,Pacific_Ocean,30.8333,-136.8333,,,,UNITED STATES,,marine habitat,,,,CAM_LIB_001479,Illumina,cDNA,,3188,,5,35,25,1,,,,,8.1,0
CAM_SMPL_002714,eukaryotes,,,,,Pelagomonas calceolata  CCMP1756,MMETSP0889,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0889"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0889</a>""",35677,00:00.0,00:00.0,(MMETSP0889) Pelagomonas calceolata  - seawater,,CAM_BM_002734,Pacific_Ocean,30.8333,-136.8333,,,,UNITED STATES,,marine habitat,,,,CAM_LIB_001480,Illumina,cDNA,,3189,,5,35,25,1,,,,,8.1,0
CAM_SMPL_002715,eukaryotes,,,,,Aureoumbra lagunensis CCMP1510,MMETSP0890,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0890"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0890</a>""",44058,00:00.0,00:00.0,(MMETSP0890) Aureoumbra lagunensis - seawater,,CAM_BM_002735,OTHER,27.4708,-97.32,,,"Bird Island Station, Laguna Madre, Texas USA",UNITED STATES,,marine habitat,,,,CAM_LIB_001481,Illumina,cDNA,,3190,,1,40,30,,,,,,8,
CAM_SMPL_002716,eukaryotes,,,,,Aureoumbra lagunensis CCMP1510,MMETSP0891,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0891"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0891</a>""",44058,00:00.0,00:00.0,(MMETSP0891) Aureoumbra lagunensis - seawater,,CAM_BM_002736,OTHER,27.4708,-97.32,,,"Bird Island Station, Laguna Madre, Texas USA",UNITED STATES,,marine habitat,,,,CAM_LIB_001482,Illumina,cDNA,,3191,,1,40,30,,,,,,8,
CAM_SMPL_002717,eukaryotes,,,,,Fragilariopsis kerguelensis L26-C5,MMETSP0733,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0733"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0733</a>""",186038,,,(MMETSP0733) Fragilariopsis kerguelensis - seawater,,CAM_BM_002737,,-48,-16,,,L26-C5 is an offspring of mating experiments during the Lohafex Iron Enrichment Experiment,,,marine habitat,,,,CAM_LIB_001483,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002718,eukaryotes,,,,,Fragilariopsis kerguelensis L26-C5,MMETSP0734,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0734"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0734</a>""",186038,,,(MMETSP0734) Fragilariopsis kerguelensis - seawater,,CAM_BM_002738,,-48,-16,,,L26-C5 is an offspring of mating experiments during the Lohafex Iron Enrichment Experiment,,,marine habitat,,,,CAM_LIB_001484,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002719,eukaryotes,,,,,Fragilariopsis kerguelensis L26-C5,MMETSP0735,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0735"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0735</a>""",186038,,,(MMETSP0735) Fragilariopsis kerguelensis - seawater,,CAM_BM_002739,,-48,-16,,,L26-C5 is an offspring of mating experiments during the Lohafex Iron Enrichment Experiment,,,marine habitat,,,,CAM_LIB_001485,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002720,eukaryotes,,,,,Aureoumbra lagunensis CCMP1510,MMETSP0892,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0892"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0892</a>""",44058,00:00.0,00:00.0,(MMETSP0892) Aureoumbra lagunensis - seawater,,CAM_BM_002740,OTHER,27.4708,-97.32,,,"Bird Island Station, Laguna Madre, Texas USA",UNITED STATES,,marine habitat,,,,CAM_LIB_001486,Illumina,cDNA,,3195,,1,40,30,,,,,,8,
CAM_SMPL_002721,eukaryotes,,,,,Aureoumbra lagunensis CCMP1510,MMETSP0893,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0893"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0893</a>""",44058,00:00.0,00:00.0,(MMETSP0893) Aureoumbra lagunensis - seawater,,CAM_BM_002741,OTHER,27.4708,-97.32,,,"Bird Island Station, Laguna Madre, Texas USA",UNITED STATES,,marine habitat,,,,CAM_LIB_001487,Illumina,cDNA,,3196,,1,40,30,,,,,,8,
CAM_SMPL_002722,eukaryotes,,,,,Heterosigma akashiwo CCMP 452,MMETSP0894,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0894"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0894</a>""",536046,00:00.0,00:00.0,(MMETSP0894) Heterosigma akashiwo - Seawater,,CAM_BM_002742,Long Island Sound,41,-73,,,,UNITED STATES,,marine habitat,,,,CAM_LIB_001488,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002723,eukaryotes,,,,,Heterosigma akashiwo CCMP 452,MMETSP0895,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0895"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0895</a>""",536046,00:00.0,00:00.0,(MMETSP0895) Heterosigma akashiwo - Seawater,,CAM_BM_002743,Long Island Sound,41,-73,,,,UNITED STATES,,marine habitat,,,,CAM_LIB_001489,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002724,eukaryotes,,,,,Heterosigma akashiwo CCMP 452,MMETSP0896,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0896"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0896</a>""",536046,00:00.0,00:00.0,(MMETSP0896) Heterosigma akashiwo - Seawater,,CAM_BM_002744,Long Island Sound,41,-73,,,,UNITED STATES,,marine habitat,,,,CAM_LIB_001490,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002725,eukaryotes,,,,,Heterosigma akashiwo CCMP 452,MMETSP0897,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0897"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0897</a>""",536046,00:00.0,00:00.0,(MMETSP0897) Heterosigma akashiwo - Seawater,,CAM_BM_002745,Long Island Sound,41,-73,,,,UNITED STATES,,marine habitat,,,,CAM_LIB_001491,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002726,eukaryotes,,,,,Fragilariopsis kerguelensis L26-C5,MMETSP0736,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0736"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0736</a>""",186038,,,(MMETSP0736) Fragilariopsis kerguelensis - seawater,,CAM_BM_002746,,-48,-16,,,L26-C5 is an offspring of mating experiments during the Lohafex Iron Enrichment Experiment,,,marine habitat,,,,CAM_LIB_001492,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002727,eukaryotes,,,,,Thalassiosira miniscula CCMP1093,MMETSP0737,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0737"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0737</a>""",385413,,,(MMETSP0737) Thalassiosira miniscula,,CAM_BM_002747,,,,,,,,,marine habitat,,,,CAM_LIB_001493,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002728,eukaryotes,,,,,Thalassiosira miniscula CCMP1093,MMETSP0738,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0738"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0738</a>""",385413,,,(MMETSP0738) Thalassiosira miniscula,,CAM_BM_002748,,,,,,,,,marine habitat,,,,CAM_LIB_001494,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002729,eukaryotes,,,,,Thalassiosira weissflogii CCMP1010,MMETSP0898,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0898"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0898</a>""",67004,00:00.0,00:00.0,(MMETSP0898) Thalassiosira weissflogii - seawater,,CAM_BM_002749,,37,-65,,,,,,marine habitat,,,,CAM_LIB_001495,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002730,eukaryotes,,,,,Thalassiosira weissflogii CCMP1010,MMETSP0899,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0899"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0899</a>""",67004,00:00.0,00:00.0,(MMETSP0899) Thalassiosira weissflogii - seawater,,CAM_BM_002750,,37,-65,,,,,,marine habitat,,,,CAM_LIB_001496,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002731,eukaryotes,,,,,Thalassiosira weissflogii CCMP1010,MMETSP0900,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0900"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0900</a>""",67004,00:00.0,00:00.0,(MMETSP0900) Thalassiosira weissflogii - seawater,,CAM_BM_002751,,37,-65,,,,,,marine habitat,,,,CAM_LIB_001497,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002732,eukaryotes,,,,,Thalassiosira weissflogii CCMP1010,MMETSP0901,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0901"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0901</a>""",67004,00:00.0,00:00.0,(MMETSP0901) Thalassiosira weissflogii - seawater,,CAM_BM_002752,,37,-65,,,,,,marine habitat,,,,CAM_LIB_001498,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002733,eukaryotes,,,,,Thalassiosira antarctica CCMP982,MMETSP0902,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0902"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0902</a>""",420261,00:00.0,00:00.0,(MMETSP0902) Thalassiosira antarctica,,CAM_BM_002753,,,,,,,ANTARCTICA,,,,,,CAM_LIB_001499,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002734,eukaryotes,,,,,Thalassiosira antarctica CCMP982,MMETSP0903,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0903"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0903</a>""",420261,00:00.0,00:00.0,(MMETSP0903) Thalassiosira antarctica,,CAM_BM_002754,,,,,,,ANTARCTICA,,,,,,CAM_LIB_001500,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002735,eukaryotes,,,,,Thalassiosira antarctica CCMP982,MMETSP0904,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0904"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0904</a>""",420261,00:00.0,00:00.0,(MMETSP0904) Thalassiosira antarctica,,CAM_BM_002755,,,,,,,ANTARCTICA,,,,,,CAM_LIB_001501,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002736,eukaryotes,,,,,Thalassiosira antarctica CCMP982,MMETSP0905,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0905"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0905</a>""",420261,00:00.0,00:00.0,(MMETSP0905) Thalassiosira antarctica,,CAM_BM_002756,,,,,,,ANTARCTICA,,,,,,CAM_LIB_001502,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002737,eukaryotes,,,,,Thalassiosira miniscula CCMP1093,MMETSP0739,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0739"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0739</a>""",385413,,,(MMETSP0739) Thalassiosira miniscula,,CAM_BM_002757,,,,,,,,,marine habitat,,,,CAM_LIB_001503,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002738,eukaryotes,,,,,Thalassiosira miniscula CCMP1093,MMETSP0740,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0740"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0740</a>""",385413,,,(MMETSP0740) Thalassiosira miniscula,,CAM_BM_002758,,,,,,,,,marine habitat,,,,CAM_LIB_001504,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002739,eukaryotes,,,,,Nitzschia punctata CCMP561,MMETSP0744,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0744"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0744</a>""",913974,,,(MMETSP0744) Nitzschia punctata,,CAM_BM_002759,,,,,,,,,marine habitat,,,,CAM_LIB_001505,Illumina,cDNA,,3214,,0,,,,,,,,,
CAM_SMPL_002740,eukaryotes,2000,L,20,,Fragilariopsis kerguelensis L2-C3,MMETSP0906,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0906"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0906</a>""",186038,00:00.0,00:00.0,(MMETSP0906) Fragilariopsis kerguelensis - Seawater,,CAM_BM_002760,Southern_Ocean,-48.1,-24.25,,,Polarstern cruise ANT-XXV/3,ANTARCTICA,,marine habitat,,,,CAM_LIB_001506,Illumina,cDNA,,3215,,20,33.8,8.05,,,,,,,
CAM_SMPL_002741,eukaryotes,2000,L,20,,Fragilariopsis kerguelensis L2-C3,MMETSP0907,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0907"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0907</a>""",186038,00:00.0,00:00.0,(MMETSP0907) Fragilariopsis kerguelensis - Seawater,,CAM_BM_002761,Southern_Ocean,-48.1,-24.25,,,Polarstern cruise ANT-XXV/3,ANTARCTICA,,marine habitat,,,,CAM_LIB_001507,Illumina,cDNA,,3216,,20,33.8,8.05,,,,,,,
CAM_SMPL_002742,eukaryotes,2000,L,20,,Fragilariopsis kerguelensis L2-C3,MMETSP0908,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0908"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0908</a>""",186038,00:00.0,00:00.0,(MMETSP0908) Fragilariopsis kerguelensis - Seawater,,CAM_BM_002762,Southern_Ocean,-48.1,-24.25,,,Polarstern cruise ANT-XXV/3,ANTARCTICA,,marine habitat,,,,CAM_LIB_001508,Illumina,cDNA,,3217,,20,33.8,8.05,,,,,,,
CAM_SMPL_002743,eukaryotes,2000,L,20,,Fragilariopsis kerguelensis L2-C3,MMETSP0909,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0909"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0909</a>""",186038,00:00.0,00:00.0,(MMETSP0909) Fragilariopsis kerguelensis - Seawater,,CAM_BM_002763,Southern_Ocean,-48.1,-24.25,,,Polarstern cruise ANT-XXV/3,ANTARCTICA,,marine habitat,,,,CAM_LIB_001509,Illumina,cDNA,,3218,,20,33.8,8.05,,,,,,,
CAM_SMPL_002744,eukaryotes,,,,,Aureococcus anophagefferens CCMP1850,MMETSP0914,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0914"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0914</a>""",44056,00:00.0,00:00.0,(MMETSP0914) Aureococcus anophagefferens - seawater,,CAM_BM_002764,OTHER,40.6508,-73.1524,,,"Great South Bay, NY, Suffolk County monitoring station #300",UNITED STATES,,marine habitat,,,,CAM_LIB_001510,Illumina,cDNA,,3219,1,1,25.25,18,14,0.16,9.9,1.23,3.07,8,0.35
CAM_SMPL_002745,eukaryotes,,,,,Perkinsus chesapeaki ATCC PRA-65 (combined sample which includes MMETSP0924 and MMETSP0925),MMETSP0924C,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0924"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0924</a>""",321610,00:00.0,00:00.0,(MMETSP0924) Perkinsus chesapeaki - Mya arenaria host clam,,CAM_BM_002765,Chesapeake Bay,38.9944,76.2141,,,"Chester River, Buoy Rock, Maryland",UNITED STATES,,organism-associated habitat,,,,CAM_LIB_001511,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002745,eukaryotes,,,,,Perkinsus chesapeaki ATCC PRA-65 (combined sample which includes MMETSP0924 and MMETSP0925),MMETSP0924C,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0924"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0924</a>""",321610,00:00.0,00:00.0,(MMETSP0925) Perkinsus chesapeaki - Mya arenaria host clam,,CAM_BM_002766,Chesapeake Bay,38.9944,76.2141,,,"Chester River, Buoy Rock, Maryland",UNITED STATES,,organism-associated habitat,,,,CAM_LIB_001511,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002748,eukaryotes,,,,,Nitzschia punctata CCMP561,MMETSP0745,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0745"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0745</a>""",913974,,,(MMETSP0745) Nitzschia punctata,,CAM_BM_002768,,,,,,,,,marine habitat,,,,CAM_LIB_001514,Illumina,cDNA,,3223,,0,,,,,,,,,
CAM_SMPL_002749,eukaryotes,,,,,Nitzschia punctata CCMP561,MMETSP0746,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0746"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0746</a>""",913974,,,(MMETSP0746) Nitzschia punctata,,CAM_BM_002769,,,,,,,,,marine habitat,,,,CAM_LIB_001515,Illumina,cDNA,,3224,,0,,,,,,,,,
