"","SampleName","n_seqs","total_annotation_names","unique_annotation_names","total_annotated_contigs","unique_annotations","annotations_w_false_crbb","total_OrthoDB","unique_OrthoDB","false_crbb_OrthoDB","total_Pfam","unique_Pfam","false_crbb_Pfam","total_Rfam","unique_Rfam","false_crbb_Rfam"
"178","MMETSP0397",25997,37435,10540,20782,9276,1017,9613,5599,679,26785,4785,367,1037,321,111
"179","MMETSP0403",40523,59982,15513,32467,13206,1236,15092,8052,805,44571,7175,487,319,92,13
"180","MMETSP0404",1966,59582,15977,33998,13647,NA,15398,8242,NA,44038,7172,NA,146,41,NA
"181","MMETSP0405",31060,54548,12965,25206,12366,NA,11457,7661,NA,43003,6412,NA,88,39,NA
"182","MMETSP0409",39544,43733,15906,26016,14648,7638,15057,9707,4932,28286,6005,3071,390,136,50
"183","MMETSP0410",45691,57795,18890,31212,18063,NA,19074,12135,NA,38273,7201,NA,448,135,NA
"184","MMETSP0411",46319,54027,18672,31029,17602,NA,18547,11859,NA,35052,6976,NA,428,138,NA
"185","MMETSP0413",30376,72577,15752,26546,14828,2844,13741,9422,1724,58727,7055,1251,109,33,13
"186","MMETSP0414",45862,60021,18999,29716,17487,6566,18893,11795,4300,40511,7045,2471,617,173,58
"187","MMETSP0415",49680,59577,19503,33477,18480,8018,19895,12363,5092,39042,7590,3174,640,180,47
"188","MMETSP0416",47790,68928,19537,38204,17791,2331,21192,12808,1735,47135,7231,674,601,193,34
"189","MMETSP0417",19033,52537,13708,17091,11162,878,12469,8195,695,39944,3844,205,124,36,9
"190","MMETSP0418",34509,54744,12314,26970,11412,1579,11735,7460,1176,42248,5862,449,763,220,55
"191","MMETSP0420",23290,41371,12615,20686,10937,2069,11203,7470,1326,29988,4511,805,180,52,15
"192","MMETSP0434",48003,42040,15119,26458,14004,4119,14724,10931,3090,26228,4058,1074,1088,379,121
"193","MMETSP0436",33913,24593,9930,16008,8503,1795,9157,6769,1452,14857,2230,339,579,187,53
"194","MMETSP0437",16940,34363,11143,15120,8377,637,9674,5700,495,24493,3322,164,196,51,5
"195","MMETSP0439",1278,1729,1046,1065,667,58,633,529,53,1096,154,6,0,0,0
"196","MMETSP0447",53552,101713,25881,43081,24689,NA,27771,17400,NA,73403,9202,NA,539,158,NA
"197","MMETSP0448",103549,135776,32318,74527,33254,8487,42393,22537,5588,93265,14491,3297,118,38,11
"198","MMETSP0449",19501,25025,9754,13103,8212,1721,9445,6344,1306,15443,2118,427,137,61,20
"199","MMETSP0451",4441,5008,1833,3250,1390,550,1400,1007,358,3603,670,240,5,3,1
"200","MMETSP0463",43507,24690,11710,14804,10359,2631,11175,8867,2080,13294,2106,592,221,84,28
"201","MMETSP0467",117595,136483,38582,73703,42262,15911,53533,32432,11662,82372,12693,4779,578,157,32
"202","MMETSP0468",59363,75415,19512,42400,17696,4814,19611,10983,3016,55589,7964,1968,215,57,12
"203","MMETSP0469",143123,185371,37534,97768,40464,17466,51110,29011,12051,132302,17286,6031,1959,551,277
"204","MMETSP0470",62116,79675,20525,44717,18867,5134,20399,11675,3288,58993,8535,1994,283,84,23
"205","MMETSP0471",60232,80066,20118,44864,18099,5128,20415,11225,3264,58672,8264,2011,979,306,101
"206","MMETSP0472",135916,166807,43939,99848,48005,20378,47800,32135,13286,118291,19022,7744,716,239,55
"207","MMETSP0484",64603,107191,26050,49402,24263,7591,27390,15943,4892,79561,9784,2922,240,52,17
"208","MMETSP0491",43997,56960,17238,29127,14852,3670,16518,9781,2545,40359,6859,1281,83,26,4
"209","MMETSP0492",2621,27422,9778,18776,8108,154,8120,4731,109,19230,4224,45,72,24,0
"210","MMETSP0493",35050,42875,13012,26993,11047,1716,11617,6572,1091,31091,5814,687,167,56,26
"211","MMETSP0494",34814,43281,13017,25891,10821,NA,11826,6586,NA,31328,5431,NA,127,40,NA
"212","MMETSP0503",75283,118702,29889,60155,32974,9690,43039,24232,6944,75517,11181,3090,146,39,9
"213","MMETSP0527",157218,185400,32506,119698,40499,13880,36799,21653,6780,148390,23035,8027,211,49,19
"214","MMETSP0528",158863,187147,32418,120914,40446,13595,36681,21512,6512,150271,23228,7949,195,45,12
"215","MMETSP0562",39369,47410,14122,30032,13121,4247,12556,7771,2680,34696,7125,1918,158,56,34
"216","MMETSP0563",34864,47695,12271,27948,10959,1388,10734,6306,827,36899,6480,666,62,20,2
"217","MMETSP0573",74286,209924,33566,126195,43118,5213,39129,22694,2488,170624,25216,3080,171,38,3
"218","MMETSP0574",33995,239853,35691,129237,46611,NA,41778,23847,NA,197757,27866,NA,318,77,NA
"219","MMETSP0578",29138,36190,10524,23179,9139,1154,8861,5258,706,27182,5215,504,147,46,15
"220","MMETSP0580",23345,37673,10172,18418,8354,693,8201,4841,427,29303,4597,309,169,60,21
"221","MMETSP0593",31357,45681,12102,25258,10498,1283,10218,5943,744,35365,5994,608,98,35,11
"222","MMETSP0595",32131,58334,15141,26109,13086,1876,13653,8157,1209,44514,6093,730,167,49,21
"223","MMETSP0603",26824,42958,11130,22439,9657,915,9080,5230,579,33825,5579,397,53,14,2
"224","MMETSP0604",29387,46167,11774,24343,10211,1101,9727,5599,625,36027,5827,516,413,135,39
"225","MMETSP0648",128923,184332,32418,118781,40767,10835,36415,21289,5257,147710,23187,6222,207,53,14
"226","MMETSP0649",123933,197312,33477,122116,42345,10103,37783,21971,4873,159302,24302,5818,227,49,15
"227","MMETSP0661",160604,252580,50085,128795,64191,NA,88053,47837,NA,161172,24734,NA,3355,1004,NA
"228","MMETSP0689",76432,128009,21865,59897,24772,3019,22285,12575,1467,105546,14374,1826,178,27,11
"229","MMETSP0696",38082,63624,15876,31885,14216,964,15290,8661,653,48210,7656,403,124,30,4
"230","MMETSP0697",39558,65671,16301,32925,14442,875,15853,8907,606,49606,7838,359,212,54,13
"231","MMETSP0698",941,63209,16074,32105,14188,NA,15454,8756,NA,47639,7554,NA,116,30,NA
"232","MMETSP0699",40222,58221,14683,30166,12828,NA,14180,8208,NA,43767,6759,NA,274,93,NA
"233","MMETSP0706",30995,38710,12395,23799,12695,3321,10499,7053,2017,27580,6523,1371,631,224,41
"234","MMETSP0707",2113,52225,12920,25896,11751,126,10903,6367,79,40989,6456,53,333,91,0
"235","MMETSP0708",24762,27159,9990,18070,9599,2073,7963,5302,1306,18720,4994,794,476,186,42
"236","MMETSP0713",2265,43195,11163,22915,10181,113,9272,5688,62,33797,5648,51,126,31,0
"237","MMETSP0718",9747,11241,4158,7065,3259,464,2842,1885,298,8259,1720,172,140,39,8
"238","MMETSP0724",30127,56928,13114,25853,11483,1143,11691,6304,654,45025,6310,551,212,70,8
"239","MMETSP0725",32234,49361,12622,26878,11144,2210,11018,6264,1149,38112,6099,1155,231,70,23
"240","MMETSP0726",23679,33850,9729,19364,8160,2506,8140,4832,1462,25571,3937,1126,139,43,19
"241","MMETSP0727",29922,47000,12124,25008,10647,2118,10516,5986,1133,36334,5624,1107,150,44,21
"242","MMETSP0733",64661,59555,17599,45189,15787,2412,20502,10630,1706,38764,7425,847,289,130,36
"243","MMETSP0734",65906,58880,17545,44489,15555,2465,20430,10562,1738,38095,7193,860,355,161,43
"244","MMETSP0735",64090,58892,17371,44161,15475,2557,19711,10253,1771,38814,7417,919,367,160,53
"245","MMETSP0736",69704,60840,18067,47368,16198,2460,21414,11098,1788,39113,7508,831,313,140,33
"246","MMETSP0737",47167,66041,16657,38173,15266,1451,16295,9093,984,49412,8422,564,334,97,23
"247","MMETSP0738",34790,52420,11879,20729,12759,1514,11884,7942,1065,39827,7094,493,709,237,40
"248","MMETSP0739",43965,49983,14526,33652,13440,2957,13319,7857,1873,36226,7096,1192,438,161,27
"249","MMETSP0740",36324,39485,12282,25054,13862,3867,11719,8300,2444,26576,7034,1541,1190,441,86
"250","MMETSP0744",30737,44667,11554,24609,10516,1182,9717,5851,723,34825,6075,498,125,40,8
"251","MMETSP0745",28275,38947,10986,22829,9849,NA,8909,5448,NA,29930,5466,NA,108,31,NA
"252","MMETSP0746",33793,41946,11558,26490,10572,NA,9726,6009,NA,31984,5885,NA,236,78,NA
"253","MMETSP0747",28743,38810,10995,23233,9900,NA,8973,5462,NA,29734,5551,NA,103,30,NA
"254","MMETSP0751",846,47189,11704,22109,10061,20,9993,5762,12,36921,5751,7,275,89,1
"255","MMETSP0752",33789,52585,13119,25699,11976,NA,11317,6797,NA,40972,6833,NA,296,96,NA
